game_id,home_bat_runs,home_bat_doubles,home_bat_triples,home_bat_homeRuns,home_bat_strikeOuts,home_bat_baseOnBalls,home_bat_hits,home_bat_avg,home_bat_atBats,home_bat_obp,home_bat_slg,home_bat_ops,home_bat_stolenBases,home_bat_rbi,home_bat_leftOnBase,home_pit_runs,home_pit_doubles,home_pit_triples,home_pit_homeRuns,home_pit_strikeOuts,home_pit_baseOnBalls,home_pit_hits,home_pit_atBats,home_pit_obp,home_pit_stolenBases,home_pit_numberOfPitches,home_pit_era,home_pit_inningsPitched,home_pit_earnedRuns,home_pit_pitchesThrown,home_pit_strikes,home_pit_rbi,home_starter_era,home_starter_ip,home_starter_k,home_starter_bb,home_starter_h,home_starter_er,home_starter_name,away_bat_runs,away_bat_doubles,away_bat_triples,away_bat_homeRuns,away_bat_strikeOuts,away_bat_baseOnBalls,away_bat_hits,away_bat_avg,away_bat_atBats,away_bat_obp,away_bat_slg,away_bat_ops,away_bat_stolenBases,away_bat_rbi,away_bat_leftOnBase,away_pit_runs,away_pit_doubles,away_pit_triples,away_pit_homeRuns,away_pit_strikeOuts,away_pit_baseOnBalls,away_pit_hits,away_pit_atBats,away_pit_obp,away_pit_stolenBases,away_pit_numberOfPitches,away_pit_era,away_pit_inningsPitched,away_pit_earnedRuns,away_pit_pitchesThrown,away_pit_strikes,away_pit_rbi,away_starter_era,away_starter_ip,away_starter_k,away_starter_bb,away_starter_h,away_starter_er,away_starter_name,game_date,home_team,away_team,home_score,away_score,winning_team,home_win,home_probable_pitcher,away_probable_pitcher
718780,2,1,0,0,5,4,8,.242,33,.316,.273,.589,0,2,24,7,2,0,0,7,6,12,40,.391,2,177,4.00,9.0,4,177,108,5,6.00,3.0,3,3,7,2,Corbin,7,2,0,0,7,6,12,.300,40,.391,.350,.741,2,5,23,2,1,0,0,5,4,8,33,.316,0,143,2.00,9.0,2,143,91,2,2.70,3.1,2,0,4,1,Fried,2023-03-30,Washington Nationals,Atlanta Braves,2,7,Atlanta Braves,0,,
718781,5,0,0,2,16,2,8,.250,32,.294,.438,.732,2,5,13,0,0,0,0,16,3,4,30,.212,1,150,0.00,9.0,0,150,93,0,0.00,6.0,11,2,3,0,Cole,0,0,0,0,16,3,4,.133,30,.212,.133,.345,1,0,14,5,0,0,2,16,2,8,32,.294,2,126,5.63,8.0,5,126,89,5,6.00,6.0,12,2,4,4,"Webb, L",2023-03-30,New York Yankees,San Francisco Giants,5,0,New York Yankees,1,,
718782,9,2,1,0,9,3,11,.314,35,.390,.429,.819,0,8,15,10,4,0,2,8,9,15,38,.521,5,191,10.00,9.0,10,191,117,9,13.50,3.1,4,4,6,5,Kluber,10,4,0,2,8,9,15,.395,38,.521,.658,1.179,5,9,21,9,2,1,0,9,3,11,35,.390,0,153,8.00,9.0,8,153,99,8,7.20,5.0,3,1,6,4,"Gibson, K",2023-03-30,Boston Red Sox,Baltimore Orioles,9,10,Baltimore Orioles,0,,
718777,4,0,0,0,5,4,6,.200,30,.314,.200,.514,0,3,14,0,0,0,0,12,5,4,29,.265,0,133,0.00,9.0,0,133,82,0,0.00,6.0,8,3,3,0,Stroman,0,0,0,0,12,5,4,.138,29,.265,.138,.403,0,0,15,4,0,0,0,5,4,6,30,.314,0,124,4.50,8.0,4,124,81,3,7.20,5.0,3,3,4,4,Burnes,2023-03-30,Chicago Cubs,Milwaukee Brewers,4,0,Chicago Cubs,1,,
718776,4,0,0,2,7,3,6,.207,29,.281,.414,.695,0,4,8,0,2,0,0,6,3,6,32,.257,0,131,0.00,9.0,0,131,85,0,0.00,6.0,6,1,4,0,McClanahan,0,2,0,0,6,3,6,.188,32,.257,.250,.507,0,0,12,4,0,0,2,7,3,6,29,.281,0,141,4.50,8.0,4,141,89,4,5.06,5.1,5,2,3,3,"Rodriguez, Ed",2023-03-30,Tampa Bay Rays,Detroit Tigers,4,0,Tampa Bay Rays,1,,
718779,11,1,0,2,8,6,10,.313,32,.421,.531,.952,1,10,7,7,4,3,1,13,2,12,39,.341,1,161,7.00,9.0,7,161,106,6,12.27,3.2,7,0,6,5,deGrom,7,4,3,1,13,2,12,.308,39,.341,.641,.982,1,6,10,11,1,0,2,8,6,10,32,.421,1,174,11.25,8.0,10,174,105,10,12.27,3.2,4,2,4,5,"Nola, A",2023-03-30,Texas Rangers,Philadelphia Phillies,11,7,Texas Rangers,1,,
718773,4,1,1,1,15,6,7,.212,33,.333,.394,.727,0,3,18,5,1,0,1,11,9,6,30,.375,2,178,5.00,9.0,5,178,104,4,8.10,3.1,8,3,5,3,"Greene, H",5,1,0,1,11,9,6,.200,30,.375,.333,.708,2,4,16,4,1,1,1,15,6,7,33,.333,0,165,4.00,9.0,4,165,104,3,7.71,4.2,8,4,5,4,"Keller, M",2023-03-30,Cincinnati Reds,Pittsburgh Pirates,4,5,Pittsburgh Pirates,0,,
718772,9,2,0,2,8,6,15,.366,41,.447,.561,1.008,1,9,24,10,3,0,0,11,3,19,43,.469,0,204,10.00,9.0,10,204,140,10,13.50,3.1,6,0,10,5,Mikolas,10,3,0,0,11,3,19,.442,43,.469,.512,.981,0,10,26,9,2,0,2,8,6,15,41,.447,1,180,9.00,9.0,9,180,110,9,13.50,3.1,3,2,9,5,Manoah,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,9,10,Toronto Blue Jays,0,,
718775,0,1,0,0,11,5,2,.074,27,.242,.111,.353,0,0,14,2,0,1,0,9,4,11,37,.366,0,156,2.00,9.0,2,156,98,2,3.38,5.1,4,1,7,2,Greinke,2,0,1,0,9,4,11,.297,37,.366,.351,.717,0,2,21,0,1,0,0,11,5,2,27,.242,0,127,0.00,9.0,0,127,77,0,0.00,5.1,8,3,2,0,"López, P",2023-03-30,Kansas City Royals,Minnesota Twins,0,2,Minnesota Twins,0,,
718774,3,3,0,1,12,2,5,.167,30,.219,.367,.586,0,3,8,5,1,0,0,5,5,8,32,.350,1,157,5.00,9.0,5,157,95,5,4.76,5.2,2,4,3,3,"Alcantara, S",5,1,0,0,5,5,8,.250,32,.350,.281,.631,1,5,14,3,3,0,1,12,2,5,30,.219,0,137,3.00,9.0,3,137,91,3,4.50,6.0,6,2,4,3,Scherzer,2023-03-30,Miami Marlins,New York Mets,3,5,New York Mets,0,,
718768,2,0,0,1,13,2,4,.133,30,.212,.233,.445,1,1,10,3,2,0,1,9,1,11,38,.325,0,145,3.00,9.0,3,145,97,3,0.00,5.0,4,0,6,0,"Valdez, F",3,2,0,1,9,1,11,.289,38,.325,.421,.746,0,3,20,2,0,0,1,13,2,4,30,.212,1,141,2.00,9.0,2,141,98,1,1.42,6.1,10,0,2,1,Cease,2023-03-30,Houston Astros,Chicago White Sox,2,3,Chicago White Sox,0,,
